pid,age,current_working,marital,logfaminc,loginc,n_loginc,ownhome,num_marriage,married,birthyear,white,edu,fambus_ever,male,fid,mid,n_child,n_obs
18021,31,1,1,11.316449,11.087359,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,32,1,1,11.599523,11.429543,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,33,1,1,11.017325,10.966905,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,34,1,1,11.144753,10.971641,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,35,1,1,11.273043,11.09741,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,36,1,1,11.172045,10.91108,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,37,1,1,11.279334,11.083219,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,38,1,1,11.463926,11.17899,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,39,1,1,11.410639,11.175493,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,40,1,1,11.348787,11.247005,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,41,1,1,11.368015,11.209791,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,42,1,1,11.391994,11.30467,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,43,1,1,11.453037,11.259323,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,44,1,1,11.711786,11.429543,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,45,1,1,11.599171,11.257258,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,46,1,1,11.543581,11.395493,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,47,1,1,11.445231,11.19874,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,48,1,1,11.62978,11.302204,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,49,1,1,11.415439,11.119985,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,50,1,1,11.240294,11.139686,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,52,1,1,11.408797,11.244262,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,54,1,1,11.076511,11.072201,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18030,26,1,1,11.698761,11.205041,,0,Actual number of marriages,1,1972,1,15,1,1,18004,18172,3,4
18030,28,1,1,12.226621,11.331404,,,Actual number of marriages,1,1972,1,15,1,1,18004,18172,3,4
18030,32,1,1,11.426074,10.70212,,,Actual number of marriages,1,1972,1,15,1,1,18004,18172,3,4
18030,38,1,1,11.675969,11.320554,,,Actual number of marriages,1,1972,1,15,1,1,18004,18172,3,4
18035,25,1,1,11.054217,11.054217,,,Actual number of marriages,0,1973,1,12,1,1,18021,18173,2,6
18035,27,1,1,10.328101,10.328101,,,Actual number of marriages,0,1973,1,12,1,1,18021,18173,2,6
18035,29,1,1,10.809243,10.188666,,0,Actual number of marriages,0,1973,1,12,1,1,18021,18173,2,6
18035,31,1,1,11.241117,10.884441,,0,Actual number of marriages,0,1973,1,12,1,1,18021,18173,2,6
18035,33,1,1,10.921204,9.2252979,,0,Actual number of marriages,0,1973,1,12,1,1,18021,18173,2,6
18035,43,1,1,11.97351,10.645425,,,Actual number of marriages,0,1973,1,12,1,1,18021,18173,2,6
19003,36,0,0,9.7897921,9.7536869,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,37,1,0,10.013686,9.918376,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,38,1,0,10.135392,10.016522,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,39,0,0,9.8201056,9.8201056,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,40,0,0,9.8709641,9.7599316,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,41,1,0,9.3160505,9.3160505,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,42,1,0,10.452981,10.32142,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,43,1,0,10.223394,10.16277,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,44,1,0,10.010592,9.8183346,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,45,1,0,9.9720802,9.8179293,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,47,1,0,9.1648197,9.1648197,,0,None,0,1951,1,13,1,1,19001,19002,2,13
19003,49,1,0,10.483006,10.009647,,,None,0,1951,1,13,1,1,19001,19002,2,13
19003,53,1,0,9.8958368,5.5373344,,,None,0,1951,1,13,1,1,19001,19002,2,13
22004,25,1,1,11.153962,10.514882,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,26,1,1,11.096865,10.530602,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,27,1,1,10.448599,10.448599,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,28,1,1,10.449931,10.449931,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,29,0,1,10.459047,10.459047,,,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,30,1,1,11.261382,11.261382,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,31,1,1,10.249147,10.249147,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,32,1,1,11.427367,10.551899,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,34,0,1,11.143166,10.001068,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,36,1,1,11.244392,10.181498,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,38,0,1,11.336069,10.083306,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,40,0,1,11.589423,10.365648,,,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,42,1,1,11.476158,10.515696,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,44,0,1,10.757611,10.75643,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,46,1,1,9.0179682,9.0179682,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,48,1,1,10.350348,10.270731,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,50,1,1,10.829729,10.829729,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
22004,52,1,1,11.32457,11.32457,,0,Actual number of marriages,0,1964,0,12,0,1,22001,22002,3,18
41003,25,1,1,10.84586,10.715867,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,26,1,1,10.949031,10.407289,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,27,1,1,11.241668,10.820818,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,28,0,1,10.559556,8.9771461,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,29,1,1,10.7592,9.960104,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,30,1,1,10.948628,10.649583,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,31,1,1,11.551665,10.677582,,0,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,32,1,1,11.698741,10.635496,,0,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,33,1,1,12.201417,11.145605,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,34,1,1,12.023688,11.100454,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,35,1,1,12.169668,11.073684,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,36,1,1,10.82854,9.7667789,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,37,1,1,10.653015,9.6773901,,,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,38,0,1,11.706016,10.969425,,0,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41003,45,1,1,9.2474632,8.357728,,0,Actual number of marriages,0,1953,1,12,1,1,41907,41002,2,15
41180,26,1,1,11.240592,10.79528,,,Actual number of marriages,1,1980,1,16,0,1,41004,41179,2,6
